#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0035825	Homologous recombination	5	63	2.11	5.13e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA1
Monarch	HP:0031105	Abnormal uterus morphology	5	119	1.84	1.61e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0011024	Abnormality of the gastrointestinal tract	9	1384	1.03	1.75e-06	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000639	Nystagmus	8	936	1.15	2.40e-06	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0012041	Decreased fertility in males	5	133	1.79	2.50e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0012547	Abnormal involuntary eye movements	8	943	1.14	2.50e-06	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0030406	Primary peritoneal carcinoma	3	6	2.91	2.94e-06	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
Monarch	HP:0000864	Abnormality of the hypothalamus-pituitary axis	6	314	1.5	2.97e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0100542	Abnormal localization of kidney	5	144	1.76	3.42e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0200006	Slanting of the palpebral fissure	7	599	1.28	3.42e-06	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0010468	Aplasia/Hypoplasia of the testes	5	146	1.75	3.57e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0002007	Frontal bossing	6	329	1.48	3.67e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0011218	Abnormal shape of the frontal region	6	330	1.47	3.68e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0031093	Abnormal breast morphology	6	332	1.47	3.70e-06	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000813	Bicornuate uterus	4	49	2.13	3.95e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002031	Abnormal esophagus morphology	5	153	1.73	4.04e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000135	Hypogonadism	6	343	1.46	4.23e-06	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0003330	Abnormal bone structure	7	639	1.25	4.51e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0002894	Neoplasm of the pancreas	4	52	2.1	4.69e-06	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,BRCA2,BRCA1
Monarch	HP:0100615	Ovarian neoplasm	4	52	2.1	4.69e-06	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	BARD1,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000508	Ptosis	7	647	1.25	4.72e-06	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000137	Abnormality of the ovary	5	165	1.7	5.31e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	BARD1,ATM,BRCA2,MAP3K1,BRCA1
Monarch	HP:0002245	Meckel diverticulum	4	56	2.07	5.82e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0005344	Abnormal carotid artery morphology	4	57	2.06	6.15e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001010	Hypopigmentation of the skin	5	174	1.67	6.54e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0006101	Finger syndactyly	5	178	1.66	7.13e-06	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002861	Melanoma	4	61	2.03	7.33e-06	9606.ENSP00000260947,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001199	Triphalangeal thumb	4	64	2.01	8.62e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002575	Tracheoesophageal fistula	4	65	2.0	9.03e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0004349	Reduced bone mineral density	6	413	1.38	9.69e-06	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000072	Hydroureter	4	69	1.98	1.08e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0030669	Abnormal ocular adnexa morphology	8	1218	1.03	1.09e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001770	Toe syndactyly	5	206	1.6	1.23e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000035	Abnormal testis morphology	7	793	1.16	1.43e-05	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000520	Proptosis	5	215	1.58	1.47e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002827	Hip dislocation	5	215	1.58	1.47e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0004325	Decreased body weight	8	1274	1.01	1.47e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001732	Abnormality of the pancreas	5	225	1.56	1.78e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,FANCD2,BRCA2,BRCA1
Monarch	HP:0002143	Abnormality of the spinal cord	5	225	1.56	1.78e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0008572	External ear malformation	4	86	1.88	2.17e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001639	Hypertrophic cardiomyopathy	5	241	1.53	2.36e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0011027	Abnormal fallopian tube morphology	3	18	2.44	2.46e-05	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
Monarch	HP:0001882	Leukopenia	4	90	1.86	2.49e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001881	Abnormal leukocyte morphology	6	517	1.28	2.88e-05	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002414	Spina bifida	4	94	1.84	2.88e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0010987	Abnormal cellular immune system morphology	6	517	1.28	2.88e-05	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000486	Strabismus	7	903	1.1	2.89e-05	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001654	Abnormal heart valve morphology	5	259	1.5	3.04e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0008053	Aplasia/Hypoplasia of the iris	4	96	1.84	3.04e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002863	Myelodysplasia	4	98	1.83	3.21e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000010	Recurrent urinary tract infections	4	99	1.82	3.29e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000290	Abnormality of the forehead	7	926	1.09	3.29e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0008678	Renal hypoplasia/aplasia	5	264	1.49	3.29e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0200007	Abnormal size of the palpebral fissures	5	267	1.49	3.36e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000453	Choanal atresia	4	101	1.81	3.39e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001053	Hypopigmented skin patches	4	102	1.81	3.47e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0006824	Cranial nerve paralysis	5	271	1.48	3.47e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0012732	Anorectal anomaly	5	274	1.48	3.62e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001507	Growth abnormality	9	2182	0.83	3.66e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000119	Abnormality of the genitourinary system	9	2189	0.83	3.67e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0005607	Abnormal tracheobronchial morphology	5	278	1.47	3.69e-05	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0011849	Abnormal bone ossification	6	558	1.25	3.69e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0100491	Abnormality of lower limb joint	6	558	1.25	3.69e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001510	Growth delay	8	1525	0.94	4.06e-05	9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000047	Hypospadias	5	290	1.45	4.29e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0009601	Aplasia/Hypoplasia of the thumb	4	112	1.77	4.39e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497	APC,FANCD2,ERCC4,BRCA2
Monarch	HP:0001574	Abnormality of the integument	9	2266	0.81	4.49e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0002023	Anal atresia	4	113	1.76	4.49e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002251	Aganglionic megacolon	4	113	1.76	4.49e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0004362	Abnormality of enteric ganglion morphology	4	113	1.76	4.49e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001646	Abnormal aortic valve morphology	4	116	1.75	4.78e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001873	Thrombocytopenia	5	305	1.43	5.05e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000028	Cryptorchidism	6	619	1.2	5.76e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0006265	Aplasia/Hypoplasia of fingers	5	315	1.42	5.80e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0011821	Abnormal facial skeleton morphology	7	1056	1.04	5.93e-05	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0002012	Abnormality of the abdominal organs	7	1068	1.03	6.32e-05	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000218	High palate	6	635	1.19	6.35e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000818	Abnormality of the endocrine system	7	1070	1.03	6.35e-05	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0001636	Tetralogy of Fallot	4	128	1.71	6.35e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0011121	Abnormality of skin morphology	8	1648	0.9	6.35e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0011873	Abnormal platelet count	5	323	1.41	6.35e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0012745	Short palpebral fissure	4	127	1.71	6.35e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000077	Abnormality of the kidney	7	1077	1.03	6.39e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0025633	Abnormal ureter morphology	4	129	1.71	6.45e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0012373	Abnormal eye physiology	9	2405	0.79	6.47e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000414150,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,ERG,BRCA1
Monarch	HP:0001172	Abnormal thumb morphology	5	331	1.39	6.76e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0002778	Abnormal tracheal morphology	4	132	1.7	6.89e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000316	Hypertelorism	6	650	1.18	6.90e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0010935	Abnormality of the upper urinary tract	7	1101	1.02	7.12e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0000238	Hydrocephalus	5	345	1.38	8.05e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001562	Oligohydramnios	4	139	1.67	8.16e-05	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0011314	Abnormal long bone morphology	6	675	1.16	8.31e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0001159	Syndactyly	5	351	1.37	8.53e-05	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001909	Leukemia	4	141	1.67	8.53e-05	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497	APC,ATM,FANCD2,BRCA2
Monarch	HP:0001631	Atrial septal defect	5	353	1.37	8.67e-05	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0004322	Short stature	7	1152	1.0	9.06e-05	9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000504	Abnormality of vision	7	1161	1.0	9.50e-05	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,NTRK2,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0011842	Abnormal skeletal morphology	9	2573	0.76	0.00010	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0011893	Abnormal leukocyte count	5	367	1.35	0.00010	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000268	Dolichocephaly	4	158	1.62	0.00013	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000340	Sloping forehead	4	161	1.61	0.00013	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0005561	Abnormality of bone marrow cell morphology	4	161	1.61	0.00013	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497	ATM,FANCD2,ERCC4,BRCA2
Monarch	HP:0000002	Abnormality of body height	7	1253	0.96	0.00015	9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	NTRK2,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
